Curso,Plano de Estudos
Mestrado em Administração e Gestão Educacional,https://www2.uab.pt/guiainformativo/detailcursos.php?curso=22
Mestrado em Bioestatística e Biometria,https://www2.uab.pt/guiainformativo/detailcursos.php?curso=64
Mestrado em Cidadania Ambiental e Participação,https://www2.uab.pt/guiainformativo/detailcursos.php?curso=24
Mestrado em Ciências do Consumo Alimentar,https://www2.uab.pt/guiainformativo/detailcursos.php?curso=25
Mestrado em Didática do Inglês,https://www2.uab.pt/guiainformativo/detailcursos.php?curso=88
Mestrado em Engenharia Informática e Tecnologia Web,https://www2.uab.pt/guiainformativo/detailcursos.php?curso=105
"Mestrado em Estatística, Matemática e Computação",https://www2.uab.pt/guiainformativo/detailcursos.php?curso=28
Mestrado em Estudos Comparados - Literatura e Outras Artes,https://www2.uab.pt/guiainformativo/detailcursos.php?curso=60
Mestrado em Estudos de Língua Portuguesa,https://www2.uab.pt/guiainformativo/detailcursos.php?curso=58
Mestrado em Estudos do Património,https://www2.uab.pt/guiainformativo/detailcursos.php?curso=30
Mestrado em Estudos Portugueses Multidisciplinares,https://www2.uab.pt/guiainformativo/detailcursos.php?curso=34
Mestrado em Estudos Sobre a Europa,https://www2.uab.pt/guiainformativo/detailcursos.php?curso=57
"Mestrado em Estudos sobre as Mulheres - Género, Cidadania e Desenvolvimento",https://www2.uab.pt/guiainformativo/detailcursos.php?curso=46
Mestrado em Gestão,https://www2.uab.pt/guiainformativo/detailcursos.php?curso=36
Mestrado em Gestão da Informação e Bibliotecas Escolares,https://www2.uab.pt/guiainformativo/detailcursos.php?curso=37
Mestrado em Informação e Sistemas Empresariais,https://www2.uab.pt/guiainformativo/detailcursos.php?curso=71
Mestrado em Pedagogia do E-Learning,https://www2.uab.pt/guiainformativo/detailcursos.php?curso=39
Mestrado em Português Língua Não Materna,https://www2.uab.pt/guiainformativo/detailcursos.php?curso=50
Mestrado em Relações Interculturais,https://www2.uab.pt/guiainformativo/detailcursos.php?curso=40
Mestrado em Supervisão Pedagógica,https://www2.uab.pt/guiainformativo/detailcursos.php?curso=41
Mestrado em Tecnologias e Sistemas Informáticos Web,https://www2.uab.pt/guiainformativo/detailcursos.php?curso=63
